utteranceID,Group,Start,End,CPS_CONST_SharesU_Situation,CPS_CONST_SharesU_CorrectSolutions,CPS_CONST_SharesU_IncorrectSolutions,CPS_CONST_EstablishesCG_Confirms,CPS_CONST_EstablishesCG_Interrupts,CPS_NEG_Responds_Reasons,CPS_NEG_Responds_QuestionsOthers,CPS_NEG_Responds_Responds,CPS_NEG_MonitorsE_Results,CPS_NEG_MonitorsE_Strategizes,CPS_NEG_MonitorsE_Save,CPS_NEG_MonitorsE_GivingUp,CPS_MAINTAIN_Initiative_Suggestions,CPS_MAINTAIN_Initiative_Compliments,CPS_MAINTAIN_Initiative_Criticizes,CPS_MAINTAIN_FulfillsR_Support,CPS_MAINTAIN_FulfillsR_Apologizes,CPS_MAINTAIN_FulfillsR_InitiatesOffTopic,CPS_MAINTAIN_FulfillsR_JoinsOffTopic
Group_01_0,Group_01,3.45,7.14,,,,,,,,,,,,,,,,,,,
Group_01_1,Group_01,9.87,12.45,,,,,,,,,,,,,,,,,,,
Group_01_2,Group_01,12.63,15.75,,,,,,,,,,,,,,,,,,,
Group_01_3,Group_01,16.2,21.36,,,,,,,,,,,,,,,,,,,
Group_01_4,Group_01,22.17,24.27,,,,,,,,,,,,,,,,,,,
Group_01_5,Group_01,24.42,27.72,,,,,,,,,,,,,,,,,,,
Group_01_6,Group_01,29.08,29.83,,,,,,,,,,,,,,,,,,,
Group_01_7,Group_01,29.84,31.32,,,,,,,,,,,,,,,,,,,
Group_01_8,Group_01,31.44,34.56,,,,,,,,,,,,,,,,,,,
Group_01_9,Group_01,35.01,36.99,,,,,,,,,,,,,,,,,,,
Group_01_10,Group_01,37.83,47.82,,,,,,,,,,,,,,,,,,,
Group_01_11,Group_01,48.27,52.25,,,,,,,,,,,,,,,,,,,
Group_01_12,Group_01,52.58,54.84,1,,,,,,,,,,,,,,,,,,
Group_01_13,Group_01,54.93,58.29,,,,,,,,,,,,,,,,,,,
Group_01_14,Group_01,58.33,58.84,,,,,,,,,,,,,,,,,,,
Group_01_15,Group_01,59.22,60.92,,,,,,,,,,,,,,,,,,,
Group_01_16,Group_01,60.66,62.49,,,,1,,,,,,,,,,,,,,,
Group_01_17,Group_01,62.58,65.18,,,,1,,,,,,,,,,,,,,,
Group_01_18,Group_01,64.91,69.66,,,,,,,,,,,,,,,,,,,
Group_01_19,Group_01,69.81,71.51,,,,1,,,,,,,,,,,,,,,
Group_01_20,Group_01,70.51,70.01,,,,,,,,,,,,,,,,,,,
Group_01_21,Group_01,72.25,73.53,,,,,,,,,,,,,,,,,,,
Group_01_22,Group_01,75.81,77.17,,,,,,,,,,,,,,,,,,,
Group_01_23,Group_01,77.51,77.75,,,,,,,,,,,,,,,,,,,
Group_01_24,Group_01,78.08,80.58,,,,,,,,,,,,,,,,,,,
Group_01_25,Group_01,78.58,78.08,,,,,,,,,,,,,,,,,,,
Group_01_26,Group_01,80.58,84.3,,,,,,,,,,,,,,,,,,,
Group_01_27,Group_01,86.07,87.41,,1,,,,,,,,,,,,,,,,,
Group_01_28,Group_01,87.48,89.04,,,,,,,,,,,,,,,,,,,
Group_01_29,Group_01,90.12,92.13,,,,,,,,,1,,,,,,,,,,
Group_01_30,Group_01,95.19,97.17,,,,,,,,,1,,,,,,,,,,
Group_01_31,Group_01,97.56,102.03,,,,,,,,,1,,,,,,,,,,
Group_01_32,Group_01,102.39,105.87,,,,,,,,,,,,,,,,,,,
Group_01_33,Group_01,104.08,104.58,,,,,,,,,,,,,,,,,,,
Group_01_34,Group_01,106.23,110.01,,1,,,,,,,,,,,,,,,,,
Group_01_35,Group_01,108.63,109.33,,,,,,,,,,,,,,,,,,,
Group_01_36,Group_01,110.16,114.24,,1,,,,,,,1,,,,,,,,,,
Group_01_37,Group_01,112.16,112.92,,,,,,,,,1,,,,,,,,,,
Group_01_38,Group_01,114.87,120.33,,1,,,,,,,,,,,,,,,,,
Group_01_39,Group_01,117.41,118.25,,,,,,,,,,,,,,,,,,,
Group_01_40,Group_01,121.2,125.01,,,,,,,,,,,,,,,,,1,,
Group_01_41,Group_01,127.35,132,,,,,,,,,1,,,,,,,,,,
Group_01_42,Group_01,128.83,130.08,,,,,1,,,,1,,,,,,,,,,
Group_01_43,Group_01,128.41,130.75,,,,,1,,,,1,,,,,,,,,,
Group_01_44,Group_01,132.27,139.65,,1,,,,,,,,,,,,,,,,,
Group_01_45,Group_01,135.33,135.91,,,,,,,,,,,,,,,,,,,
Group_01_46,Group_01,135.73,136.41,,,,,,,,,,,,,,,,,,,
Group_01_47,Group_01,140.73,145.89,,,,,,,,,1,,,,,,,,,,
Group_01_48,Group_01,142.91,144.92,,,,,,,,,1,,,,,,,,,,
Group_01_49,Group_01,148.86,159.42,,1,,,1,,,,1,,,,,,,,,,
Group_01_50,Group_01,149.25,154.25,,,,,1,,,,1,,,,,,,,,,
Group_01_51,Group_01,153.21,155.25,,,,,1,,,,1,,,,,,,,,,
Group_01_52,Group_01,159.6,163.86,,,,1,,,,,,,,,,,,,,,
Group_01_53,Group_01,162.91,163.86,,,,,,,,1,,,,,,,,,,,
Group_01_54,Group_01,164.37,167.91,,1,,,,,,,,,,,,,,,,,
Group_01_55,Group_01,169.31,171.99,,,,,,,,,,,,,,,,,,,
Group_01_56,Group_01,172.56,183.58,,,,1,,,,,1,,,,,,,,,,
Group_01_57,Group_01,174.54,185.08,,,,,,,,1,1,,,,,,,,,,
Group_01_58,Group_01,185.33,187.83,,1,,,,,,,,,,,,,,,,,
Group_01_59,Group_01,188.1,189.5,,1,,,,,,,,,,,,,,,,,
Group_01_60,Group_01,189.91,196.44,,1,,,,,,,,,,,,,,,,,
Group_01_61,Group_01,198.15,202.14,,,,1,,,,,,,,,,,,,,,
Group_01_62,Group_01,200.31,201.37,,,,,,,,1,,,,,,,,,,,
Group_01_63,Group_01,203.49,204.34,,,,,,,,1,,,,,,,,,,,
Group_01_64,Group_01,204.58,206.37,,,,,,,,,,,,,,,,,,,
Group_01_65,Group_01,207.06,210.87,,,,,,,,,1,,,,,,,,,,
Group_01_66,Group_01,211.29,213.93,,,,1,,,,,1,,,,,,,,,,
Group_01_67,Group_01,214.47,216.45,,,,,,,,,,,,,,,,,,,
Group_01_68,Group_01,216.63,219.06,,,,,,,,,1,,,,,,,,,,
Group_01_69,Group_01,216.16,217.66,,,,,,,,,1,,,,,,,,,,
Group_01_70,Group_01,219.33,221.49,,,,,,,,,1,,,,,,,,,,
Group_01_71,Group_01,228.06,231.51,,,,,,,,,1,,,,,,,,,,
Group_01_72,Group_01,231.54,233.52,,,,,,,,,,,,,,,,,,,
Group_01_73,Group_01,234.27,239.82,,,,1,,,,,1,,,,,,,,,,
Group_01_74,Group_01,235.83,237.58,,,,,,,,1,,,,,,,,,,,
Group_01_75,Group_01,240.84,242.82,,1,,,,,,,,,,,,,,,,,
Group_01_76,Group_01,251.88,258.72,,,,1,,,,,1,,,,,,,,,,
Group_01_77,Group_01,254.63,255.31,,,,1,,,,,1,,,,,,,,,,
Group_01_78,Group_01,256.84,257.01,,,,,,,,1,,,,,,,,,,,
Group_01_79,Group_01,260.01,263.82,,,,,,,,,1,,,,,,,,,,
Group_01_80,Group_01,264.93,267.36,,,,,,,,,1,,,,,,,,,,
Group_01_81,Group_01,268.08,272.58,,,,,,,,,1,,,,,,,,,,
Group_01_82,Group_01,267.57,269.42,,,,,,,,,,,,,,,,,,,
Group_01_83,Group_01,274.26,280.32,,,,,,,,,1,,,,1,,,,,,
Group_01_84,Group_01,275.75,279.11,,,,,,,,1,,,,,,,,,,,
Group_01_85,Group_01,275.83,277.75,,,,,,,,,,,,,,1,,,,,
Group_01_86,Group_01,281.25,283.48,,,,,,,,1,,,,,,,,,,,
Group_01_87,Group_01,282.25,286.26,,,,1,,,,,1,,,,,,,,,,
Group_01_88,Group_01,286.56,287.08,,,,1,,,,,1,,,,,,,,,,
Group_01_89,Group_01,288.92,292.47,,,,,,,,1,,,,,,,,,,,
Group_01_90,Group_01,288.91,289.41,,,,,,,,1,1,,,,,,,,,,
Group_01_91,Group_01,295.32,304.62,,,,,,,,,,,,,,,,,,,
Group_01_92,Group_01,296.48,296.79,,,,,,,,,,,,,,,,,,,
Group_01_93,Group_01,295.66,302.75,,,,,,,,,,,,,1,,,,,,
Group_01_94,Group_01,304.68,305.58,,,,,,,,1,,,,,,1,,,,,
Group_01_95,Group_01,304.48,306.03,,,,,,,,1,,,,,,1,,,,,
Group_01_96,Group_01,305.91,307.2,,,,,,,,,,,,,,,,,,,
Group_01_97,Group_01,308.28,312.3,,,,,,,,,,,,,,1,,,,,
Group_01_98,Group_01,312.93,315.42,,,,,,,,,,,,,,,,,,,
Group_01_99,Group_01,313.82,314.42,,,,,1,,,,,,,,,1,,,,,
Group_01_100,Group_01,315.66,315.91,,,,,,,,,,,,,,1,,,,,
Group_01_101,Group_01,318.72,321.81,,,,,,,,,,,,,,1,,,,,
Group_01_102,Group_01,321.84,323.97,,,,,,,,,,,,,,,,,,,
Group_01_103,Group_01,324.12,339.63,,,,,,,,,,,,,,,,,,,
Group_01_104,Group_01,331.17,331.83,,,,,,,,,,,,,,,,,,,
Group_01_105,Group_01,334.38,336.33,,1,,,,,,,,,,,,,,,,,
Group_01_106,Group_01,337.08,337.92,,,,,,,,,,,,,,,,,,,
