Utterance,Start,End,Group,1,2,3,4,4,Transcript
0,2.88,5.91,2,,,,Callibrate my cameras real quick,4,Callibrate my cameras real quick
1,6.3,8.4,2,,,,,0,
2,9.75,12.84,2,,,,,0,
3,14.82,18.18,2,,,,So the task you are completing today is called the weights task,4,So the task you are completing today is called the weights task
4,18.75,23.1,2,,,,In the first part you are going to work together to determine the weight of these five cubes,4,In the first part you are going to work together to determine the weight of these five cubes
5,23.52,32.73,2,,Can we use this piece of paper,,And we can tell you that that red cube right there is ten grams,4,And we can tell you that that red cube right there is ten grams
6,33.3,36.42,2,,,,You are going to determine the rest of the weights using them,4,You are going to determine the rest of the weights using them
7,36.45,38.76,2,,,,Using the scale um,4,Using the scale um
8,39.48,45.21,2,,,,And you don't need to use the slider on the scale just like round up to whatever like zero so you don't have to worry about like 23,4,And you don't need to use the slider on the scale just like round up to whatever like zero so you don't have to worry about like 23
9,46.83,54.78,2,,,,Um and then go ahead and place the scale on the worksheet when you've gotten the weight and also enter it into this survey,4,Um and then go ahead and place the scale on the worksheet when you've gotten the weight and also enter it into this survey
10,54.9,57.3,2,,,,You guys are going to be group two,4,You guys are going to be group two
11,57.63,68.01,2,Ok cool no for sure,Alright you guys mind if I just start some tests,,And you can go ahead and start,4,And you can go ahead and start
12,70.05,73.29,2,,,,,,
13,73.32,76.98,2,,,,,0,
14,77.07,79.05,2,,,,,0,
15,81.33,85.53,2,Yeah it's like a bit slow to level up,,,,1,Yeah it's like a bit slow to level up
16,86.82,88.95,2,So I would imagine if this,,,,1,So I would imagine if this
17,88.98,94.65,2,Needle goes over the red line that means they're probably equal,And I I think they are,,,1,Needle goes over the red line that means they're probably equal
18,94.77,97.05,2,,Especially since it keeps going back,,,2,Especially since it keeps going back
19,97.11,102.39,2,Yeah they also just look like relatively the same size but they could be different material you know,Even length,,,1,Yeah they also just look like relatively the same size but they could be different material you know
20,102.45,106.23,2,So that one is probably ten grams too,Yeah,,,1,So that one is probably ten grams too
21,108.06,111.3,2,And then if that's ten grams then we have a two,,,,1,And then if that's ten grams then we have a two
22,112.29,117.87,2,Yeah,So I'm going to hold back on that one because I think it's the heaviest,,,2,So I'm going to hold back on that one because I think it's the heaviest
23,119.13,121.59,2,We can do like the green one,The green one,,,1,We can do like the green one
24,121.74,123.9,2,,By touch feels lighter,,,2,By touch feels lighter
25,124.68,128.22,2,,And that looks like it might be about even,,,2,And that looks like it might be about even
26,128.52,130.5,2,,,,,0,
27,133.83,136.17,2,Ok,,,,1,Ok
28,138,140.31,2,There we go that's better,,,,1,There we go that's better
29,141.27,149.28,2,Yeah so that's probably twenty grams,Well on the first go through I noticed how it bounced twice and actually get some momentum ok so then,,,2,Well on the first go through I noticed how it bounced twice and actually get some momentum ok so then
30,149.97,151.95,2,You'd imagine and then,,,,1,You'd imagine and then
31,152.31,155.34,2,The first two are ten,Yep,,,1,The first two are ten
32,155.49,158.1,2,,Um,,,2,Um
33,158.13,166.59,2,Twenty probably,So knowing that uh oh sorry the green one was yeah,Yeah,,2,So knowing that uh oh sorry the green one was yeah
34,167.13,169.11,2,,,This is what we are looking at next,,3,This is what we are looking at next
35,169.26,171.42,2,,Yeah,,,2,Yeah
36,172.38,174.54,2,,,,,0,
37,174.66,176.64,2,,,,,0,
38,177.9,179.88,2,,,,,0,
