Utterance,Start,End,Group,1,2,3,4,
0,2.91,5.52,7,,,,I need to callibrate my cameras first,
1,9.63,11.61,7,,,,,
2,13.77,17.94,7,,,,Okay um and if you could flip that paper over for me,
3,18.15,23.01,7,,,,There will be content on that paper. Okay,
4,23.13,25.71,7,,,,the task that you are completing is called the weights task,
5,26.31,30.21,7,,,,part one you will work together to determine the weights of the five colorable cubes,
6,31.05,34.08,7,,,,I will tell you that the red cube is ten grams,
7,34.77,38.37,7,,,,You will determine the weights of the remaining cubes using the scale here,
8,39.27,43.86,7,,,,All of the weights are in intervals of ten grams so you don't need to touch the slider on the scale,
9,44.37,50.28,7,,,,The scale is not perfect so as long as one side doesn't drop down you can assume that the weights are equal,
10,50.94,53.52,7,,,,Uh you will place the blocks onto these,
11,53.7,56.55,7,,,,onto the worksheet once you have determined their weight,
12,56.91,59.58,7,,,,And you will also enter the weight into this survey here,
13,59.88,63.54,7,,,Okay,You guys are going to be group number seven and you can go ahead and get started,
14,64.11,66.51,7,,,Do I just type in the group number now or,Yeah,
15,71.58,73.56,7,,,,,
16,74.07,76.2,7,,,Okay,Yeah,
17,76.47,81.24,7,,Let's start with the smallest block,,,
18,81.69,83.79,7,,,Um,,
19,88.44,90.42,7,,,,,
20,92.19,95.52,7,Yeah almost,,Yeah.,,
21,97.53,106.08,7,,,I think so as well or I think it's the other way around uh. Yeah,,
22,107.1,109.35,7,Okay,It seems to be ten,,,
23,110.34,115.71,7,,Is that blue or purple this is blue I guess,Yeah uh. This is blue,,
24,116.58,121.68,7,,and we can now we have twenty so we can,And this was ten. Okay,,
25,121.71,124.47,7,,try to put one of them,Sure,,
26,124.62,128.1,7,,,Oh that's the heaviest,,
27,128.79,132.21,7,Oh,Oh this seems to heavy,Okay,,
28,134.37,136.35,7,,,,,
29,136.77,138.84,7,Think it should be,,,,
30,139.86,143.4,7,,,Yeah they should be twenty as well. Uhh,,
31,146.01,150.63,7,Yeah. Green,,Okay. Should I put this as twenty,,
32,151.56,154.59,7,Now it's forty,,Okay,,
33,154.62,156.69,7,This is,,And,,
34,157.65,160.8,7,No no no that's silly,You can try I'm always,,,
35,161.19,165.12,7,This one or this one,think that's heavier. Yeah yeah yeah that's lighter yeah,,,
36,165.3,167.28,7,,,,,
37,168.12,170.1,7,,,,,
38,179.43,182.52,7,Thirty,,Yeah I think it's yeah thirty,,
39,182.73,185.43,7,,,Yup,,
40,185.55,187.83,7,,,Okay,,
41,188.58,190.71,7,,,Ummm,,
42,190.77,192.75,7,,,,,
43,192.84,195.6,7,,So is twenty and there is thirty,,,
44,203.16,205.14,7,,twenty plus,,,
45,205.44,207.42,7,Thirty,Thirty,,,
46,207.51,211.74,7,,it's not exactly aligning but it could be,No no no no,,
47,212.22,219.36,7,,Fifty I guess,So if we. No,,
48,220.23,223.83,7,,,,,
49,226.56,230.13,7,,Fifty and the purple is,Yeah I think fifty seems right,,
50,230.52,232.53,7,,Thirty thirty plus twenty,,,
51,233.76,235.74,7,Yeah,,Yup,,
52,236.79,245.64,7,I'm sorry. It purple is thirty,Uh itís not exactly aligning,Fifty. Oh purple is thirty. Uh yellow,,
53,245.73,252.27,7,Do you want to put ten. It is,should I. So this seem it's little more. Yeah so should I put something here,On the left,,
54,252.63,254.61,7,,,We can try it yeah,,
55,255.18,259.17,7,I should we should keep ten,No,No,,
56,260.25,262.26,7,,But then that'll even this is,,,
57,263.19,265.17,7,,This is ten ok we know that this is ten,,,
58,265.29,274.92,7,Now it's completely now,Yeah but we put both ten so that they cancel out,Yeah. No it's still on the left,,
59,275.4,277.95,7,,,And you mean like this,,
60,279,281.34,7,,So this is thirty oops sorry,,,
61,281.4,283.8,7,,Thirty plus thirty plus  ,Thirty,,
62,283.86,286.05,7,,Fifty,And then yeah. Yeah,,
63,286.92,288.9,7,,,,,
64,289.86,291.84,7,,,,,
65,293.79,295.77,7,,,,,
66,297.93,299.91,7,,,So,,
67,300.93,311.13,7,It's okay or we should just us scale it with this one,,Yeah how about we try like twenty and then,,
68,311.91,316.5,7,It's it's two gram I think,,,,
69,317.25,320.4,7,It has until five but,,,,
70,320.49,322.71,7,we can,,,,
71,323.19,329.25,7,It's five gram now. It's,What does this do,Yeah it's. I don't know,,
72,329.4,335.28,7,mmm it's this way plus five. So you can,,Oh,,
73,337.53,339.84,7,,,,,
74,340.26,344.94,7,So you should add something here,,Oh ok so it could be,,
75,345.27,347.25,7,,,,,
76,347.28,350.34,7,,So now we're adding three grams where,Or here,,
